ticker,company,decision,confidence,current_price,expected_value_3y,expected_cagr,base_cagr,probability_profit,bear_downside,company_type,valuation_model,potential_score,price_stage,price_maturity,forward_pe,next_year_eps_growth,eps_revision_30d,return_12m
BHC,Bausch Health Companies Inc.,BUY,HIGH,6.349999904632568,47.83,0.9602,0.9363,1.0,3.6157,PROFITABLE_GROWTH,FORWARD_EPS_EXIT_MULTIPLE,61.99,EARLY,0.0,1.5145481,-0.061100002,-0.005816655600872708,0.10243049519205782
RYZ,Ryerson Holding Corporation,BUY,HIGH,28.0,105.89,0.558,0.5587,1.0,0.7093,PROFITABLE_GROWTH,FORWARD_EPS_EXIT_MULTIPLE,56.23,EARLY,0.0,11.839323,0.7985,0.00852878464818764,0.38553361971345246
PCOR,"Procore Technologies, Inc.",WATCH,HIGH,58.189998626708984,82.7,0.1243,0.1308,0.75,-0.3643,TURNAROUND,FORWARD_EPS_EXIT_MULTIPLE,69.07,EARLY,0.0,24.569536,0.39189997,0.12331210070243179,-0.09544540695756165
WK,Workiva Inc.,WATCH,HIGH,67.31999969482422,88.93,0.0972,0.1057,0.75,-0.3266,TURNAROUND,FORWARD_EPS_EXIT_MULTIPLE,78.41,EARLY,0.0,16.62678,0.20549999,0.16099534614314848,-0.11351069883403087
CNR,"Core Natural Resources, Inc.",WATCH,HIGH,94.16000366210938,123.88,0.0958,0.0753,0.75,-0.4613,CYCLICAL,NORMALIZED_CYCLICAL_EARNINGS,62.83,EARLY,0.0,14.1700535,2.7008,-0.04370515135674568,0.24622436651198765
OTF,Blue Owl Technology Finance Cor,WATCH,LOW,11.390000343322754,,,,,,SPECIAL_CASE,NEEDS_SPECIALIST_VALUATION,73.57,EARLY,0.0,8.527875,0.0761,-0.0028024392431171496,-0.13018310150778556
PLTR,PLTR,WATCH,LOW,175.22999572753906,,,,,,EARLY_STAGE_GROWTH,NEEDS_SPECIALIST_VALUATION,69.21,EARLY,0.0,,,,-0.038254672543617585
BX,Blackstone Inc.,WATCH,LOW,141.66000366210938,,,,,,SPECIAL_CASE,NEEDS_SPECIALIST_VALUATION,67.17,EARLY,0.0,18.918194,0.2432,-0.008500800425834435,-0.12069646964154657
PUBM,"PubMatic, Inc.",TOO LATE,HIGH,17.760000228881836,26.51,0.1428,0.1491,0.75,-0.3435,TURNAROUND,FORWARD_EPS_EXIT_MULTIPLE,45.97,LATE,80.0,24.804468,0.41779998,0.4662216124342144,0.5885509610102464
PAYS,"Paysign, Inc.",TOO LATE,HIGH,12.529999732971191,14.37,0.0467,0.0544,0.75,-0.4278,PROFITABLE_GROWTH,FORWARD_EPS_EXIT_MULTIPLE,46.8,LATE,80.0,20.710743,0.23470000000000002,0.38548560698009915,1.1237287339723112
IOVA,"Iovance Biotherapeutics, Inc.",TOO LATE,MEDIUM,6.400000095367432,6.32,-0.0043,-0.0037,0.25,-0.6063,EARLY_STAGE_GROWTH,FORWARD_REVENUE_MULTIPLE,53.57,LATE,88.47,,0.42410000000000003,0.11324183743811495,1.424242364035715
SLN,Silence Therapeutics Plc - Amer,TOO LATE,MEDIUM,15.430000305175781,0.42,-0.6986,-0.6992,0,-0.989,EARLY_STAGE_GROWTH,FORWARD_REVENUE_MULTIPLE,43.57,LATE,96.0,,0.025,0.0,1.8680297354936477
AYA,Aya Gold & Silver Inc.,TOO LATE,LOW,27.920000076293945,0.51,-0.7371,-0.7419,0,-0.9925,CYCLICAL,NORMALIZED_CYCLICAL_EARNINGS,42.84,LATE,80.0,12.139131,,,1.9989257591723542
YPF,YPF Sociedad Anonima,PASS,HIGH,50.939998626708984,68.74,0.105,0.0844,0.75,-0.4476,CYCLICAL,NORMALIZED_CYCLICAL_EARNINGS,65.49,EARLY,0.0,8.869574,-0.069699995,0.030138829100301478,0.42409834986884243
LPG,Dorian LPG Ltd.,PASS,HIGH,44.459999084472656,55.27,0.0752,0.0551,0.75,-0.491,CYCLICAL,NORMALIZED_CYCLICAL_EARNINGS,77.66,EARLY,12.33,10.369679,-0.43460000000000004,0.2445573294629898,0.6399453685585543
GSM,Ferroglobe PLC,PASS,HIGH,4.630000114440918,5.55,0.0626,0.0428,0.75,-0.5097,CYCLICAL,NORMALIZED_CYCLICAL_EARNINGS,64.68,EARLY,0.0,11.156627,2.7726998,0.012195121951219521,0.12082803882964388
CDRE,"Cadre Holdings, Inc.",PASS,LOW,32.7599983215332,21.3,-0.1337,-0.1256,0,-0.62,PROFITABLE_GROWTH,FORWARD_EPS_EXIT_MULTIPLE,57.1,EARLY,0.0,19.546305,0.0366,0.20225373134328342,0.06611232242788234
KTOS,Kratos Defense & Security Solut,PASS,MEDIUM,62.41999816894531,36.41,-0.1644,-0.1594,0,-0.7339,PROFITABLE_GROWTH,FORWARD_EPS_EXIT_MULTIPLE,58.95,EARLY,0.0,55.97403,0.36200002000000003,0.0252130909891644,0.05653345014175337
SRTA,"Strata Critical Medical, Inc.",PASS,MEDIUM,5.940000057220459,3.36,-0.1732,-0.173,0,-0.7441,TURNAROUND,FORWARD_EPS_EXIT_MULTIPLE,72.65,EARLY,1.1,,2.3636,8.499999999999998,0.5755968401253537
RDW,Redwire Corporation,PASS,LOW,13.119999885559082,6.93,-0.1917,-0.1889,0,-0.7614,EARLY_STAGE_GROWTH,FORWARD_REVENUE_MULTIPLE,76.39,EARLY,0.0,,0.2561,0.16502901190123245,0.38542761516473045
